Team,Player Name,Primary Shoe Brand,Primary Shoe Model,List of All Shoes
Brooklyn Nets,Tyrese Martin,Nike,Kobe 6 Reverse Grinch,"{('Nike', 'Book 1'), ('Nike', 'PG 6'), ('Nike', 'Air Zoom G.T. Cut 2'), ('Nike', 'Kobe 4 Protro'), ('Nike', 'Kobe 5 Protro Year of the Mamba'), ('Nike', 'Kobe 7'), ('Nike', 'KD 4'), ('Nike', 'Kyrie 7'), ('Adidas', 'Harden Vol. 8'), ('Nike', 'Kobe 5'), ('Nike', 'Kobe 5 X-Ray'), ('Nike', 'LeBron XX'), ('Nike', 'Kobe 6 Reverse Grinch'), ('Nike', 'Kobe 5 Protro Undefeated Hall of Fame'), ('Nike', 'Kobe 6')}"
Brooklyn Nets,Cam Thomas,Nike,Kobe 6 Reverse Grinch,"{('Nike', 'Kobe 4 Protro'), ('Nike', 'Kobe Protro 6'), ('Nike', 'Kobe 5'), ('Nike', 'Kobe XI Low'), ('Nike', 'Kobe 7'), ('Nike', 'Kobe 6'), ('Nike', 'Kobe X Low')}"
Brooklyn Nets,Maxwell Lewis,Adidas,adizero Select 2.0,"{('Adidas', 'BYW Select'), ('Adidas', 'AE1'), ('Adidas', 'Harden Vol. 8'), ('Adidas', 'D Rose 1.5'), ('Adidas', 'Gil Zero'), ('Adidas', 'Harden Vol. 7'), ('Adidas', 'adizero Select 2.0')}"
Brooklyn Nets,Jalen Wilson,Adidas,Harden Vol. 8,"{('Adidas', 'Harden Vol. 7'), ('Adidas', 'Harden Vol. 8'), ('Adidas', 'Harden Vol. 9 Cyber Metallic'), ('Adidas', 'BYW Select')}"
Brooklyn Nets,Tosan Evbuomwan,Nike,Kobe 5 X-Ray,"{('Nike', 'Kobe 9 Low'), ('Nike', 'Ja 1'), ('Nike', 'KD 16'), ('Nike', 'Kobe 8 Venice Beach'), ('Nike', 'Kobe 8'), ('Nike', 'Sabrina 1')}"
Brooklyn Nets,Ziaire Williams,Adidas,Dame 9,"{('Adidas', 'D.O.N. Issue 4'), ('Adidas', 'DON Issue #3'), ('Adidas', 'Dame 8 EXTPLY')}"
Brooklyn Nets,Dariq Whitehead,Nike,Air Zoom G.T. Cut 3,"{('Nike', 'Book 1'), ('Nike', 'Kobe 6 Reverse Grinch'), ('Nike', 'KD 16'), ('Nike', 'Kobe 6')}"
Brooklyn Nets,Nic Claxton,Nike,Kyrie 6,"{('Nike', 'Book 1'), ('Nike', 'Kyrie 6'), ('Nike', 'JA 2 Tree Topper'), ('Nike', 'KD 12'), ('Nike', 'Ja 1'), ('Nike', 'Kobe A.D. Low 2017'), ('Nike', 'KD 14'), ('Nike', 'KD 13'), ('Nike', 'JA 2 Nightmare'), ('Nike', 'KD7'), ('Nike', 'Zoom KD12'), ('Nike', 'JA 2 Twelve Time'), ('Nike', 'JA 2'), ('Nike', 'Kyrie Low 5'), ('Nike', 'Kobe A.D. Low 2017 Purple Stardust')}"
New York Knicks,Ariel Hukporti,Nike,Air Zoom G.T. Cut 3,"{('Nike', 'Air Zoom G.T. Cut 3'), ('Nike', 'Kobe 9 Low'), ('Nike', 'KD 4'), ('Nike', 'KD 4 Galaxy'), ('Nike', 'Sabrina 2 SLAM'), ('Nike', 'Kobe 6 Sail All-Star'), ('Adidas', 'AE1 Low'), ('Nike', 'Kobe 8'), ('Nike', 'Kobe 5'), ('Nike', 'Kobe 5 X-Ray')}"
New York Knicks,Cameron Payne,Nike,Kobe 5 Bruce Lee,"{('Nike', 'Book 1'), ('Nike', 'Kobe 4 Protro'), ('Jordan', 'Air  11 Retro Low'), ('Nike', 'Kobe A.D.'), ('Nike', 'Kobe 5 Bruce Lee'), ('Nike', 'Ja 1'), ('Nike', 'Kobe 5'), ('Nike', 'Zoom Freak 1'), ('Nike', 'PG 2.5'), ('Nike', 'KD Trey 5 III'), ('Nike', 'Kobe 5 Black Mamba Collection Fade to Black'), ('Nike', 'Sabrina 1'), ('Nike', 'Kobe 6')}"
New York Knicks,Josh Hart,Nike,Kobe 5 X-Ray,"{('Nike', 'Kobe AD NXT FF'), ('Nike', 'Kobe 5 Protro Bruce Lee Alternate'), ('Nike', 'Kobe 5 Protro Year of the Mamba'), ('Nike', 'Kobe 6 WNBA'), ('Nike', 'Kobe 6 Sail All-Star'), ('Nike', 'Kobe 5'), ('Nike', 'Kobe 11'), ('Nike', 'Kobe 5 X-Ray'), ('Nike', 'Kobe 6')}"
New York Knicks,Jalen Brunson,Nike,Kobe 4 Protro,"{('Nike', 'Kyrie Low 2'), ('Nike', 'Kobe 4 Protro'), ('Nike', 'Kobe 6 WNBA'), ('Nike', 'Kobe 5 Protro Year of the Mamba'), ('Nike', 'Kobe A.D.'), ('Nike', 'Kobe A.D. Low 2017'), ('Nike', 'Kobe 6 Sail All-Star'), ('Nike', 'Kobe 5'), ('Nike', 'Hyperdunk X Low'), ('Nike', 'LeBron XX'), ('Nike', 'Sabrina 1'), ('Nike', 'Kobe 6'), ('Nike', 'Kobe 5 Protro'), ('Nike', 'Kobe 6 Grinch')}"
New York Knicks,Pacome Dadiet,Adidas,Harden Vol. 9 Cyber Metallic,"{('Adidas', 'Harden Vol. 8'), ('Adidas', 'Dame 9'), ('Adidas', 'AE1 Low')}"
New York Knicks,Kevin McCullar Jr.,,,set()
New York Knicks,Precious Achiuwa,Anta,KAI 1,"{('Anta', 'KT7'), ('Anta', 'KT Splash 5.0'), ('Anta', 'Shock Wave 4 Pro'), ('Anta', 'Shock Wave 5 Pro'), ('Anta', 'KAI 1'), ('Anta', 'Shock The Game 6'), ('Anta', 'Daringly 3.0'), ('Anta', 'KT8'), ('Anta', 'Quick Speed 5.0'), ('Anta', 'Z-Up 1'), ('Nike', 'Kybrid S2'), ('Anta', 'KT Splash 4')}"
New York Knicks,Miles McBride,Nike,Book 1 Sedona,"{('Nike', 'Book 1'), ('Nike', 'PG 6'), ('Nike', 'Air Zoom G.T. Cut 3'), ('Nike', 'KD 14'), ('Nike', 'KD 15'), ('Nike', 'Book 1 Sunrise')}"
