Rk,Player,Age,Team,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM▼,VORP,Awards,Player-additional
112,Klay Thompson,33,GSW,SF,77,63,2284,13.9,.576,.611,.121,1.7,10.2,6.0,11.2,1.1,1.4,8.9,24.2,1.8,1.7,3.6,.075,1.1,-1.5,-0.4,0.9,,thompkl01
113,Jabari Smith Jr.,20,HOU,PF,76,76,2424,13.8,.571,.456,.222,6.1,21.3,13.6,7.1,1.0,2.3,8.9,17.6,2.4,3.2,5.6,.111,-0.5,0.1,-0.4,1.0,,smithja05
114,Jonathan Kuminga,21,GSW,PF,74,46,1949,17.0,.598,.191,.347,5.2,14.4,9.8,12.5,1.4,1.7,10.9,24.1,2.7,1.9,4.6,.113,0.0,-0.4,-0.4,0.8,,kuminjo01
115,Nicolas Batum,35,2TM,PF,60,38,1529,10.2,.603,.723,.082,5.0,13.1,9.0,10.7,1.5,2.3,13.1,8.6,1.7,1.6,3.3,.103,-1.3,0.8,-0.4,0.6,,batumni01
116,Jalen Green,21,HOU,SG,82,82,2601,14.7,.541,.454,.264,1.7,15.9,8.7,17.3,1.2,1.0,11.4,27.4,0.2,2.9,3.1,.056,0.4,-0.9,-0.5,1.0,,greenja05
117,Aaron Nesmith,24,IND,SF,72,47,1995,12.8,.631,.526,.216,3.6,12.0,7.8,6.6,1.5,2.0,8.4,16.0,2.8,1.3,4.1,.098,-0.3,-0.2,-0.5,0.8,,nesmiaa01
118,OG Anunoby,26,2TM,SF,50,50,1702,12.8,.595,.463,.154,3.0,10.6,6.8,9.0,2.0,1.9,11.6,17.6,1.1,1.5,2.6,.073,-1.0,0.5,-0.6,0.6,,anunoog01
119,Max Strus,27,CLE,SF,70,70,2239,11.7,.553,.658,.133,3.4,13.5,8.5,17.3,1.4,1.2,12.7,17.4,1.2,2.6,3.9,.083,-1.1,0.5,-0.6,0.8,,strusma01
120,Coby White,23,CHI,PG,79,78,2881,14.5,.570,.460,.215,1.7,12.4,6.9,20.8,0.9,0.6,11.1,22.7,3.1,1.6,4.7,.078,0.7,-1.3,-0.7,0.9,,whiteco01
121,RJ Barrett,23,2TM,SG,58,58,1838,16.4,.580,.284,.331,3.1,16.0,9.5,16.7,0.8,1.1,11.1,26.5,1.6,1.2,2.9,.075,0.7,-1.5,-0.8,0.6,,barrerj01
